Usuario,Puntuación_influence,Seguidores,Media_likes,Posts,Tasa_interacción_60d,Media_Likes_Post_Nuevo,Total_Likes,País,Idioma_principal
paulodybala,85.0,57.8m,1.8m,1.4k,2.6%,1.5m,2.6b,Argentina,Italiano
9gag,86.0,57.8m,616.4k,33.8k,0.3%,188.3k,20.9b,Estados Unidos,Inglés
blackpinkofficial,85.0,57.6m,1.9m,2.0k,2.1%,1.2m,3.9b,Corea del Sur,Inglés
robertdowneyjr,86.0,57.2m,2.6m,494,0.8%,450.2k,1.3b,Estados Unidos,Inglés
michelleobama,85.0,57.1m,513.7k,832,0.5%,298.3k,427.4m,Estados Unidos,Inglés
tatawerneck,86.0,57.0m,738.0k,6.0k,0.7%,365.7k,4.4b,Brasil,Portugés
jokowi,85.0,56.6m,392.4k,4.9k,0.4%,199.9k,1.9b,Indonesia,Indonesio
ladygaga,83.0,56.4m,1.4m,3.6k,1.1%,598.5k,4.9b,Estados Unidos,Inglés
ayutingting92,85.0,56.2m,138.9k,10.0k,0.2%,104.0k,1.4b,Indonesia,Indonesio
kritisanon,76.0,55.8m,828.1k,2.4k,0.9%,511.3k,2.0b,India,Inglés
adele,84.0,55.6m,3.8m,465,5.2%,2.9m,1.8b,Estados Unidos,Inglés
stephencurry30,84.0,54.9m,1.0m,1.2k,0.6%,333.0k,1.2b,Estados Unidos,Inglés
louisvuitton,82.0,54.7m,119.2k,7.5k,0.2%,106.2k,888.7m,Francia,Inglés
sunnyleone,84.0,54.6m,671.1k,5.2k,0.4%,209.3k,3.5b,Canada,Inglés
prillylatuconsina96,84.0,54.4m,334.4k,7.0k,0.2%,132.2k,2.3b,Indonesia,Indonesio
cznburak,80.0,54.4m,857.7k,2.1k,1.5%,833.6k,1.8b,Turquía,Turco
lelepons,81.0,53.8m,2.3m,2.6k,2.0%,1.1m,6.0b,Estados Unidos,Inglés
hudabeauty,82.0,53.8m,162.1k,2.6k,0.1%,73.5k,428.1m,Estados Unidos,Inglés
larissamanoela,85.0,53.2m,575.7k,5.3k,0.7%,344.2k,3.0b,Brasil,Portugés
georginagio,74.0,53.2m,2.6m,876,5.4%,2.9m,2.3b,España,Español
travisscott,78.0,53.1m,3.0m,3.2k,3.4%,1.8m,9.8b,Estados Unidos,Inglés
krisjenner,80.0,52.9m,382.5k,6.7k,0.9%,461.0k,2.5b,Estados Unidos,Inglés
garethbale11,86.0,52.8m,792.1k,1.0k,3.1%,1.6m,810.3m,Reino Unido,Inglés
gucci,86.0,52.3m,108.6k,27,0.1%,41.2k,2.9m,Italia,Inglés
jamesrodriguez10,86.0,52.0m,1.3m,1.1k,1.4%,733.0k,1.4b,Colombia,Español
j.m,87.0,51.8m,12.9m,85,13.4%,6.9m,1.1b,Corea del Sur,Inglés
jbalvin,87.0,51.5m,785.5k,10.0k,0.6%,294.7k,7.8b,Colombia,Español
zayn,82.0,51.3m,4.5m,25,4.0%,2.0m,112.9m,Estados Unidos,Inglés
vanessahudgens,84.0,51.0m,595.3k,4.4k,0.8%,400.6k,2.6b,Estados Unidos,Inglés
haileybieber,85.0,50.7m,2.0m,2.1k,2.1%,1.1m,4.3b,Estados Unidos,Inglés
vancityreynolds,86.0,50.2m,1.0m,780,4.0%,2.0m,787.4m,Canada,Inglés
harrystyles,57.0,48.9m,3.9m,715,0.1%,0,2.8b,Estados Unidos,Inglés
daddyyankee,80.0,48.8m,650.9k,139,1.2%,563.0k,90.5m,Puerto Rico,Español
maisa,42.0,48.5m,509.5k,1.8k,0.4%,173.9k,917.5m,Brasil,Portugés
dovecameron,85.0,48.0m,1.6m,418,2.4%,1.1m,680.7m,Estados Unidos,Inglés
luissuarez9,85.0,47.7m,802.1k,1.1k,1.2%,565.2k,855.0m,Uruguay,Español
natgeotravel,82.0,47.4m,188.4k,10.0k,0.1%,27.7k,1.9b,Estados Unidos,Inglés
jannatzubair29,84.0,47.2m,1.3m,1.9k,1.6%,693.7k,2.5b,India,Inglés
worldstar,78.0,47.1m,154.4k,11.0k,0.1%,30.3k,1.7b,Estados Unidos,Inglés
thenotoriousmma,82.0,47.1m,938.3k,3.8k,0.7%,338.1k,3.6b,Estados Unidos,Inglés
varundvn,84.0,46.7m,1.0m,2.0k,1.4%,626.8k,2.1b,India,Inglés
buzzfeedtasty,85.0,46.2m,54.8k,9.8k,0.0%,11.5k,535.3m,España,Inglés
badbunnypr,83.0,46.2m,3.8m,1,11.8%,5.4m,3.8m,Puerto Rico,Español
mahi7781,58.0,46.1m,2.8m,109,0.1%,0,301.2m,India,Inglés
teddysphotos,80.0,46.1m,553.1k,2.3k,0.7%,302.3k,1.3b,Estados Unidos,Inglés
charlidamelio,80.0,45.9m,3.8m,297,1.1%,513.1k,1.1b,Estados Unidos,Inglés
ranveersingh,85.0,45.9m,920.1k,1.8k,2.5%,1.1m,1.6b,Suiza,Indonesio
hrithikroshan,85.0,45.9m,1.5m,687,2.2%,972.0k,1.0b,India,Inglés
nikefootball,85.0,45.9m,263.7k,2.3k,0.3%,140.4k,599.5m,Estados Unidos,Inglés
houseofhighlights,83.0,45.8m,467.1k,12.3k,0.6%,230.2k,5.8b,Estados Unidos,Inglés
prattprattpratt,84.0,45.5m,720.9k,830,0.9%,387.6k,598.3m,Estados Unidos,Inglés
norafatehi,83.0,45.5m,1.3m,2.0k,2.4%,1.1m,2.6b,Anguilla,Inglés
kapilsharma,83.0,45.2m,784.9k,1.2k,2.7%,1.2m,915.9m,India,Inglés
ruben_onsu,75.0,45.2m,123.1k,14.3k,0.0%,18.9k,1.8b,Indonesia,Indonesio
brunamarquezine,84.0,45.2m,879.1k,3.1k,1.3%,559.1k,2.7b,Estados Unidos,Portugés
dior,85.0,45.0m,84.4k,10.0k,0.2%,100.0k,841.5m,Francia,Inglés
rkive,86.0,44.8m,9.5m,95,11.2%,5.0m,904.0m,Corea del Sur,Inglés
gusttavolima,76.0,44.3m,406.1k,5.3k,0.5%,200.1k,2.2b,Brasil,Portugés
nickyjampr,81.0,44.2m,373.7k,10.0k,0.3%,124.4k,3.7b,Colombia,Español
sachintendulkar,76.0,44.2m,798.3k,1.2k,2.5%,1.1m,940.4m,India,Inglés
iamsrk,82.0,44.1m,2.0m,773,4.2%,1.8m,1.6b,India,Inglés
5-Minute Crafts GIRLY,85.0,44.0m,135.0k,9.5k,0.0%,15.8k,1.3b,Estados Unidos,Inglés
parineetichopra,84.0,43.8m,509.3k,1.4k,2.9%,1.3m,715.1m,India,Inglés
liverpoolfc,75.0,43.7m,327.7k,24.6k,0.4%,192.8k,8.1b,Reino Unido,Inglés
princessyahrini,81.0,43.6m,118.8k,4.8k,0.0%,0,565.1m,Indonesia,Inglés
fifaworldcup,75.0,43.5m,128.4k,9.5k,0.4%,132.2k,1.2b,Suiza,Inglés
andresiniesta8,85.0,43.4m,242.3k,2.3k,0.3%,141.7k,553.9m,España,Español
shahidkapoor,82.0,43.3m,1.2m,1.3k,2.1%,891.2k,1.6b,India,Inglés
toni.kr8s,83.0,43.3m,595.9k,1.0k,1.1%,455.2k,606.6m,Alemania,Inglés
natashawilona12,84.0,43.3m,441.9k,1.4k,0.3%,131.5k,601.4m,Indonesia,Inglés
mrbeast,75.0,43.2m,1.6m,251,3.4%,1.4m,390.8m,Estados Unidos,Inglés
blakelively,80.0,43.0m,2.1m,146,0.0%,0,310.2m,Estados Unidos,Inglés
jenniferaniston,85.0,42.9m,4.2m,136,4.7%,2.0m,567.7m,Estados Unidos,Inglés
chrissyteigen,79.0,42.8m,579.2k,5.4k,0.4%,162.5k,3.1b,Estados Unidos,Inglés
britneyspears,80.0,42.6m,441.4k,3.4k,0.5%,210.2k,1.5b,Turquía,Inglés
caradelevingne,86.0,42.5m,767.8k,2.8k,0.6%,250.1k,2.2b,Estados Unidos,Inglés
marinaruybarbosa,81.0,42.4m,585.8k,2.2k,1.5%,625.9k,1.3b,Brasil,Portugés
